student_id,weakest_subjects,lowest_average_score
S100,"PHARMACOLOGY, SURGERY, ANATOMY",12.0
S101,"ANATOMY, BIOCHEMISTRY, PHYSIOLOGY",
S102,"ANATOMY, BIOCHEMISTRY, PHYSIOLOGY",
S103,"ANATOMY, BIOCHEMISTRY, PHYSIOLOGY",
S104,"ANATOMY, BIOCHEMISTRY, PHYSIOLOGY",
S105,"ANATOMY, BIOCHEMISTRY, PHYSIOLOGY",
S106,"ANATOMY, BIOCHEMISTRY, PHYSIOLOGY",
S107,"ANATOMY, BIOCHEMISTRY, PHYSIOLOGY",
S108,"ANATOMY, BIOCHEMISTRY, PHYSIOLOGY",
S109,"ANATOMY, BIOCHEMISTRY, PHYSIOLOGY",
S110,"ANATOMY, BIOCHEMISTRY, PHYSIOLOGY",
S111,"ANATOMY, BIOCHEMISTRY, PHYSIOLOGY",
S112,"ANATOMY, BIOCHEMISTRY, PHYSIOLOGY",
S113,"ANATOMY, BIOCHEMISTRY, PHYSIOLOGY",
S114,"ANATOMY, BIOCHEMISTRY, PHYSIOLOGY",
S115,"ANATOMY, BIOCHEMISTRY, PHYSIOLOGY",
S116,"ANATOMY, BIOCHEMISTRY, PHYSIOLOGY",
S117,"ANATOMY, BIOCHEMISTRY, PHYSIOLOGY",
S118,"ANATOMY, BIOCHEMISTRY, PHYSIOLOGY",
S119,"PHARMACOLOGY, SURGERY, ANATOMY",14.0
S120,"ANATOMY, BIOCHEMISTRY, PHYSIOLOGY",
S121,"ANATOMY, BIOCHEMISTRY, PHYSIOLOGY",
S122,"SURGERY, IM, BIOCHEMISTRY",15.0
S123,"ANATOMY, BIOCHEMISTRY, PHYSIOLOGY",
S124,"ANATOMY, BIOCHEMISTRY, PHYSIOLOGY",
S125,"PREV MED, PHARMACOLOGY, BIOCHEMISTRY",27.0
S126,"ANATOMY, BIOCHEMISTRY, PHYSIOLOGY",
S127,"PHYSIOLOGY, ANATOMY, BIOCHEMISTRY",20.0
S128,"PHARMACOLOGY, MICROBIOLOGY, BIOCHEMISTRY",18.0
S129,"ANATOMY, BIOCHEMISTRY, PHYSIOLOGY",
S130,"SURGERY, BIOCHEMISTRY, PHARMACOLOGY",10.0
S131,"ANATOMY, OBGYN, SURGERY",9.0
S132,"PHYSIOLOGY, PHARMACOLOGY, IM",20.0
S133,"PHYSIOLOGY, ANATOMY, IM",15.67
S134,"SURGERY, PATHOLOGY, PHARMACOLOGY",14.0
S135,"PHYSIOLOGY, MICROBIOLOGY, SURGERY",13.25
S136,"MICROBIOLOGY, IM, SURGERY",14.67
S137,"OBGYN, ANATOMY, IM",20.0
S138,"PEDIA, OBGYN, PHARMACOLOGY",18.67
S139,"PHARMACOLOGY, IM, SURGERY",17.6
S140,"MICROBIOLOGY, BIOCHEMISTRY, SURGERY",21.2
S141,"PHYSIOLOGY, PATHOLOGY, PHARMACOLOGY",24.6
S142,"PHARMACOLOGY, ANATOMY, PHYSIOLOGY",13.33
S143,"PHYSIOLOGY, OBGYN, MICROBIOLOGY",20.83
S144,"PHARMACOLOGY, SURGERY, PHYSIOLOGY",16.6
S145,"PHYSIOLOGY, IM, PATHOLOGY",19.33
S146,"IM, SURGERY, PREV MED",22.17
S147,"OBGYN, PHYSIOLOGY, IM",15.0
S148,"PHYSIOLOGY, IM, PHARMACOLOGY",15.0
S149,"ANATOMY, SURGERY, PHARMACOLOGY",16.5
S150,"MICROBIOLOGY, PHYSIOLOGY, PHARMACOLOGY",19.67
S151,"OBGYN, PHARMACOLOGY, ANATOMY",15.67
S152,"IM, SURGERY, PHARMACOLOGY",20.67
S153,"ANATOMY, PHARMACOLOGY, BIOCHEMISTRY",22.83
S154,"SURGERY, OBGYN, PHARMACOLOGY",10.67
S155,"OBGYN, PEDIA, SURGERY",21.0
S156,"PHYSIOLOGY, PATHOLOGY, MICROBIOLOGY",20.0
S157,"IM, PHARMACOLOGY, PREV MED",22.67
S158,"SURGERY, OBGYN, IM",16.25
S159,"ANATOMY, PHYSIOLOGY, PATHOLOGY",12.0
S160,"MICROBIOLOGY, PHARMACOLOGY, SURGERY",17.83
S161,"PHARMACOLOGY, MICROBIOLOGY, SURGERY",19.17
S162,"IM, PATHOLOGY, SURGERY",21.6
S163,"MICROBIOLOGY, PHYSIOLOGY, SURGERY",16.25
S164,"IM, OBGYN, PHARMACOLOGY",22.6
S165,"IM, PEDIA, OBGYN",19.33
S166,"PHARMACOLOGY, PHYSIOLOGY, IM",19.0
S167,"PHARMACOLOGY, PHYSIOLOGY, MICROBIOLOGY",22.67
S168,"SURGERY, IM, PREV MED",23.33
S169,"MICROBIOLOGY, PHYSIOLOGY, PHARMACOLOGY",18.25
S170,"OBGYN, PATHOLOGY, PHARMACOLOGY",25.4
S171,"PHYSIOLOGY, IM, PATHOLOGY",18.8
S172,"SURGERY, PHYSIOLOGY, IM",20.33
S173,"SURGERY, PREV MED, IM",24.0
S174,"PHARMACOLOGY, MICROBIOLOGY, SURGERY",18.0
S175,"SURGERY, PHYSIOLOGY, MICROBIOLOGY",14.0
S176,"IM, SURGERY, OBGYN",17.67
S177,"PHYSIOLOGY, SURGERY, PHARMACOLOGY",10.0
S178,"OBGYN, SURGERY, PREV MED",24.0
S179,"PHYSIOLOGY, MICROBIOLOGY, PATHOLOGY",19.67
S180,"ANATOMY, SURGERY, PHARMACOLOGY",15.0
S181,"OBGYN, IM, SURGERY",24.5
S182,"ANATOMY, OBGYN, PHYSIOLOGY",23.2
S183,"SURGERY, OBGYN, PHYSIOLOGY",18.33
S184,"IM, PHYSIOLOGY, OBGYN",26.4
S185,"SURGERY, IM, OBGYN",24.5
S186,"IM, MICROBIOLOGY, OBGYN",24.2
S187,"OBGYN, PEDIA, SURGERY",22.83
S188,"OBGYN, PATHOLOGY, SURGERY",25.0
S189,"PHARMACOLOGY, MICROBIOLOGY, OBGYN",27.0
