student_id,ANATOMY,BIOCHEMISTRY,PHYSIOLOGY,PATHOLOGY,MICROBIOLOGY,PHARMACOLOGY,IM,SURGERY,PEDIA,OBGYN,PREV MED,LEGAL MED
S067,19.333333333333332,17.75,17.5,24.0,16.0,17.5,25.4,17.2,22.0,25.333333333333332,25.5,27.4
S068,20.666666666666668,22.25,13.0,13.0,18.333333333333332,23.0,27.666666666666668,23.0,26.333333333333332,22.0,25.0,28.0
S069,27.5,29.25,25.25,23.5,24.2,23.5,21.8,20.333333333333332,32.75,25.75,26.666666666666668,25.5
S070,35.0,30.75,35.666666666666664,30.2,36.333333333333336,34.666666666666664,26.75,30.5,36.666666666666664,22.25,22.0,26.5
S071,28.6,24.25,29.75,33.333333333333336,36.333333333333336,20.25,21.4,26.2,29.5,20.5,19.333333333333332,24.0
S072,34.4,36.0,42.0,37.5,39.0,30.0,32.333333333333336,29.25,32.5,26.75,30.5,38.75
S073,27.333333333333332,33.0,29.666666666666668,29.333333333333332,30.0,31.0,26.2,22.2,24.0,24.4,34.0,31.5
S074,15.75,28.0,15.75,18.25,21.2,22.8,25.25,21.5,24.75,19.666666666666668,23.166666666666668,25.833333333333332
S075,32.25,27.2,38.0,36.333333333333336,33.25,20.0,19.6,23.4,27.75,20.2,33.333333333333336,23.5
S076,22.666666666666668,26.4,20.6,20.5,16.5,20.833333333333332,17.5,21.75,24.25,19.75,29.666666666666668,31.0
S077,24.4,30.666666666666668,20.666666666666668,20.25,19.2,17.8,18.0,21.75,23.8,17.5,22.2,26.0
S078,21.8,17.8,20.25,22.8,20.4,17.4,18.8,17.4,18.0,18.4,20.5,22.8
S079,33.25,28.5,22.75,31.5,28.8,21.0,28.4,25.4,27.4,25.25,29.5,28.2
S080,28.8,25.6,23.75,28.75,31.0,16.5,26.5,30.5,31.25,27.0,34.5,33.75
S081,13.5,25.5,18.0,26.0,15.0,14.0,19.0,17.5,18.0,25.0,25.5,26.5
S082,29.0,41.0,31.0,27.5,22.666666666666668,32.333333333333336,27.666666666666668,27.5,31.333333333333332,32.0,36.666666666666664,32.333333333333336
S083,44.333333333333336,45.75,44.333333333333336,36.75,43.666666666666664,43.5,37.333333333333336,42.666666666666664,44.5,29.0,35.5,40.5
S084,25.75,26.5,25.5,21.333333333333332,25.5,26.0,22.25,25.0,25.25,20.25,21.0,20.0
S085,16.5,17.5,16.0,22.0,18.5,22.0,6.0,22.0,,16.0,27.0,22.5
S086,35.75,40.666666666666664,40.0,38.5,39.0,35.666666666666664,27.666666666666668,38.0,40.0,29.5,32.0,40.0
S087,30.0,38.4,33.8,25.6,25.2,28.4,21.4,25.666666666666668,32.0,28.5,36.333333333333336,34.0
S088,23.5,15.666666666666666,17.75,22.666666666666668,16.0,22.333333333333332,30.0,28.0,28.0,21.0,27.0,29.0
S089,40.333333333333336,44.666666666666664,43.666666666666664,44.666666666666664,35.0,33.666666666666664,36.0,37.75,39.5,33.5,36.0,40.75
S090,31.4,32.4,28.8,34.6,32.5,29.4,22.0,31.5,33.0,28.0,31.25,34.75
S091,24.0,28.0,32.0,28.666666666666668,48.0,39.0,24.0,21.0,16.0,18.0,23.333333333333332,24.0
S092,34.0,42.0,5.0,29.666666666666668,28.0,30.5,27.5,27.0,29.333333333333332,30.0,29.333333333333332,30.666666666666668
S093,34.25,38.0,33.25,37.0,34.666666666666664,34.0,30.666666666666668,36.666666666666664,31.666666666666668,37.333333333333336,38.0,35.666666666666664
S094,12.0,,16.0,18.0,20.5,14.0,21.5,27.0,28.5,31.666666666666668,23.666666666666668,36.5
S095,23.25,27.0,23.333333333333332,25.0,26.666666666666668,19.666666666666668,23.0,22.25,22.666666666666668,19.0,21.0,30.666666666666668
S096,17.333333333333332,24.0,20.25,26.5,18.0,21.5,22.5,18.75,23.333333333333332,24.75,24.0,27.25
S097,37.0,33.0,18.5,26.5,20.0,26.0,32.0,37.0,23.5,23.5,37.0,27.0
S098,24.0,34.0,29.0,28.0,24.0,23.0,24.0,24.0,35.0,30.0,41.0,41.0
S099,10.0,31.0,10.0,25.0,22.0,15.0,21.0,19.0,21.5,24.0,25.666666666666668,32.25
S100,14.0,19.0,,21.0,,12.0,,13.0,,16.0,,
S101,,,,,,,,,,,,
S102,,,,,,,,,,,,
S103,,,,,,,,,,,,
S104,,,,,,,,,,,,
S105,,,,,,,,,,,,
S106,,,,,,,,,,,,
S107,,,,,,,,,,,,
S108,,,,,,,,,,,,
S109,,,,,,,,,,,,
S110,,,,,,,,,,,,
S111,,,,,,,,,,,,
S112,,,,,,,,,,,,
S113,,,,,,,,,,,,
S114,,,,,,,,,,,,
S115,,,,,,,,,,,,
S116,,,,,,,,,,,,
S117,,,,,,,,,,,,
S118,,,,,,,,,,,,
S119,18.0,26.0,,19.0,20.0,14.0,25.0,15.0,,,,
S120,,,,,,,,,,,,
S121,,,,,,,,,,,,
S122,,24.0,,,,,19.0,15.0,,,,
S123,,,,,,,,,,,,
S124,,,,,,,,,,,,
S125,,36.0,,,,33.0,,,,,27.0,
S126,,,,,,,,,,,,
S127,,,20.0,,,,,,,,,
S128,,25.0,27.0,,21.0,18.0,,,,,,
